order_id,listed_price,date_listed,final_value_fee,add_fee
05-08085-44339,28.70,2021-07-28,3.32,0.00
24-08103-02222,11.03,2021-07-30,1.46,0.00
10-08110-22870,9.63,2021-12-29,1.31,0.90
15-08120-61393,14.77,2021-10-25,2.01,0.00
01-08158-69072,37.90,2021-04-24,4.74,2.50
05-08167-72072,49.95,2022-01-17,5.91,5.00
27-08163-26457,146.70,2021-08-05,15.26,0.00
15-08169-01577,40.20,2021-03-30,3.64,2.85
14-08172-74003,16.56,2022-01-18,2.16,0.00
19-08185-44226,28.21,2021-10-06,3.56,1.65
18-08187-17598,16.16,2021-10-06,2.12,0.00
03-08191-31232,8.00,2022-01-25,1.19,0.80
18-08188-18653,43.17,2022-01-24,6.32,0.00
14-08189-28944,19.85,2022-01-17,2.18,0.00
10-08190-54469,7.46,2021-10-29,1.16,0.75
25-08189-19467,16.16,2021-10-06,2.15,1.50
06-08196-46055,37.65,2021-05-27,4.88,6.25
14-08195-07273,49.98,2021-10-25,5.82,12.50
24-08210-31215,69.75,2022-01-24,8.12,12.50
18-08197-91717,53.40,2021-06-14,6.80,0.00
01-08202-25018,69.70,2022-01-23,8.09,0.00
02-08202-57845,38.90,2022-01-18,4.68,5.88
16-08201-05026,19.65,2021-07-29,2.49,0.00
06-08204-56677,67.68,2022-01-24,10.15,0.00
25-08200-83009,117.68,2022-01-24,17.08,0.00
27-08205-02249,106.50,2022-01-25,11.17,0.00
03-08208-99509,18.65,2021-07-21,2.46,0.00
07-08215-53556,36.10,2022-01-27,4.10,2.00
08-08215-06595,49.95,2022-01-19,4.47,5.00
01-08219-09608,8.00,2022-01-17,1.35,0.80
20-08224-22122,8.43,2021-12-29,1.19,0.00
16-08230-27680,8.65,2021-10-29,1.21,2.00
23-08230-52929,37.65,2022-01-08,4.88,6.25
21-08232-83194,28.18,2021-10-22,3.27,3.75
05-08238-88541,46.67,2022-01-24,6.41,4.00
17-08240-45089,86.88,2022-01-25,12.94,0.00
19-08253-47327,83.23,2022-01-20,9.06,6.50
26-08251-80798,110.06,2022-01-20,11.89,9.00
13-08275-51361,46.81,2021-07-16,5.23,0.00
17-08262-16273,43.50,2021-02-13,4.88,0.00
26-08268-34409,26.73,2021-10-25,3.11,1.00
12-08270-72513,30.40,2022-02-15,2.90,0.00
03-08277-84461,40.38,2021-03-29,4.55,1.80
07-08286-48430,21.45,2022-02-13,2.56,2.00
02-08294-82602,48.90,2022-02-15,4.13,2.80
10-08302-99103,19.49,2022-02-22,2.35,0.00
11-08310-58009,104.60,2022-02-12,11.31,0.00
12-08312-85687,20.00,2022-01-18,2.92,2.00
24-08325-16238,45.74,2022-02-24,5.12,0.00
08-08315-69340,63.67,2022-02-22,7.00,5.00
18-08331-39518,31.95,2022-02-24,4.50,3.00
13-08346-93327,71.33,2022-02-12,8.00,5.00
19-08341-04789,53.33,2022-01-27,6.06,0.00
10-08357-21618,15.26,2022-01-10,1.95,1.40
14-08358-08025,10.49,2022-01-18,1.67,0.97
24-08373-03690,41.30,2022-02-16,5.13,3.75
04-08372-60876,31.49,2022-01-18,3.70,2.00
07-08372-69823,21.37,2022-02-22,2.61,2.00
27-08380-17014,51.94,2022-02-15,5.91,3.53
11-08389-51448,35.81,2022-02-22,4.17,0.00
03-08402-40707,1787.21,2022-03-18,145.06,0.00
21-08404-09263,223.57,2022-03-10,24.45,0.00
21-08417-30630,69.02,2021-03-18,7.13,4.00
21-08419-04154,22.40,2021-09-13,3.89,2.00
15-08420-65176,27.82,2021-06-17,3.30,1.50
05-08425-81087,30.03,2021-06-22,3.54,0.00
11-08433-01000,8.72,2021-05-31,1.16,0.00
18-08439-80900,16.20,2022-02-13,2.05,0.00
18-08439-80900,15.85,2022-01-19,2.01,0.00
08-08448-79504,20.25,2021-10-07,2.49,0.00
25-08467-01926,186.07,2022-02-04,15.37,4.55
12-08480-46281,104.65,2022-04-01,14.75,4.20
18-08484-67803,104.65,2022-03-21,11.60,2.52
17-08485-02591,22.63,2021-10-19,2.74,0.56
23-08511-80526,19.33,2022-01-20,2.39,0.85
24-08537-10016,92.31,2022-01-20,12.43,8.50
11-08532-02923,12.90,2022-02-22,1.69,1.20
14-08526-78373,16.26,2022-02-04,2.06,1.50
24-08560-18592,26.80,2021-07-09,3.19,1.00
07-08564-07276,27.63,2021-07-21,3.28,0.43
15-08557-42979,31.75,2022-03-30,3.73,0.00
13-08560-80055,12.32,2022-02-22,1.63,0.00
10-08565-33072,272.03,2022-02-14,32.94,2.50
03-08573-40452,28.96,2022-02-04,3.43,0.00
21-08569-87756,22.43,2021-10-06,2.72,0.00
03-08596-11230,19.50,2022-05-01,2.64,1.80
11-08596-64930,21.65,2021-10-07,3.14,2.00
23-08610-04614,17.63,2022-05-10,2.42,0.00
27-08621-95646,74.21,2022-05-01,9.21,1.44
04-08623-59290,201.24,2022-03-30,24.45,12.00
01-08629-08866,25.16,2022-05-01,3.02,0.72
15-08626-47646,428.00,2022-05-02,38.82,40.00
04-08631-08770,26.74,2022-05-12,3.19,2.00
05-08631-43743,27.84,2022-05-12,3.31,2.00
08-08632-09369,29.32,2022-05-10,3.82,0.00
23-08634-32228,599.99,2022-05-11,82.20,60.00
08-08638-44990,18.92,2022-05-12,2.34,1.30
18-08638-84959,90.58,2022-03-22,10.08,6.00
23-08637-75399,60.58,2022-05-12,7.57,0.00
14-08649-68386,42.35,2022-05-19,4.11,0.00
20-08650-88608,155.48,2022-05-20,14.01,10.00
06-08660-10359,9.73,2022-05-21,1.35,0.90
20-08661-09843,9.84,2022-05-22,1.36,0.90
25-08661-69466,16.49,2022-02-04,1.49,2.08
04-08670-43301,19.28,2021-10-06,2.38,0.15
20-08667-70469,10.13,2022-05-17,1.39,0.00
21-08668-88004,12.39,2022-05-23,1.64,0.70
16-08672-08040,22.07,2022-05-24,2.68,1.60
01-08687-16469,18.61,2022-05-23,2.31,3.90
06-08698-15273,12.76,2022-05-22,1.68,0.00
21-08693-94750,10.69,2022-05-23,1.45,1.00
14-08701-54341,32.48,2022-06-01,2.93,0.00
26-08698-35336,12.88,2022-05-21,1.69,0.39
06-08710-67528,10.63,2022-05-24,1.45,0.00
17-08710-00340,15.03,2022-06-02,0.20,0.00
13-08723-34734,43.75,2022-06-04,5.03,1.88
02-08728-40715,29.99,2022-06-02,3.54,3.00
14-08733-97888,10.00,2022-06-01,1.38,1.00
07-08736-93745,10.73,2022-06-04,1.46,0.00
22-08737-57952,39.20,2022-05-01,4.43,3.92
09-08742-72980,13.10,2022-06-07,1.71,1.31
24-08757-31693,25.22,2021-10-06,3.02,0.00
17-08745-88551,32.95,2022-06-02,3.86,2.11
12-08749-98960,9.73,2022-05-23,1.35,0.00
26-08749-77060,27.24,2022-05-30,3.24,1.80
18-08756-26606,69.92,2022-06-05,7.85,6.99
17-08756-42135,10.59,2022-06-06,1.44,0.00
13-08764-58061,225.00,2022-04-29,28.31,0.00
18-08764-50139,32.60,2022-06-06,4.36,3.26
06-08785-24044,22.45,2022-06-22,2.89,2.40
02-08786-45943,13.03,2022-06-22,1.71,1.30
22-08782-15634,10.81,2021-07-15,1.47,1.08
21-08782-51021,7.90,2022-06-07,1.15,0.00
21-08789-34932,20.70,2022-05-26,2.54,0.00
07-08794-91136,20.90,2022-05-26,2.56,2.09
03-08796-06477,15.89,2022-05-24,2.02,1.59
04-08796-66981,12.71,2022-05-24,1.67,1.27
27-08791-04762,265.57,2022-06-14,28.98,26.56
23-08794-34302,36.72,2021-07-13,4.27,3.67
20-08799-48714,17.34,2022-06-06,2.17,0.00
03-08806-55354,32.18,2022-06-22,3.78,0.00
09-08804-69554,44.49,2022-05-31,5.10,0.00
12-08808-33050,21.75,2022-03-10,3.16,2.18
10-08808-79198,16.04,2022-05-24,2.03,1.60
07-08815-49830,68.32,2022-06-16,7.68,6.83
10-08817-75233,10.63,2022-05-31,1.58,0.00
17-08817-70703,10.65,2022-06-06,1.58,0.00
17-08818-53392,13.66,2022-05-31,1.94,1.37
07-08830-16371,65.05,2022-06-22,8.11,6.51
22-08834-42112,38.11,2022-06-06,4.87,0.00
02-08841-98207,29.31,2022-06-28,3.82,2.93
08-08844-16434,12.44,2022-05-31,1.73,0.00
24-08856-72593,13.23,2022-05-24,1.73,1.32
13-08846-85328,31.01,2022-06-02,3.65,3.10
03-08851-91305,18.90,2022-06-06,2.34,1.89
23-08849-96321,23.68,2022-02-04,2.22,2.37
11-08856-34402,10.60,2022-05-31,1.57,0.00
26-08856-62696,12.63,2022-06-06,1.66,0.77
14-08879-11873,19.08,2022-05-31,2.36,1.91
15-08881-57798,9.92,2022-06-06,1.37,0.99
06-08884-96357,9.62,2022-05-12,1.34,0.96
26-08890-53929,23.79,2022-07-22,2.87,2.38
14-08898-69262,19.03,2022-06-06,2.36,1.90
26-08896-80161,37.60,2022-05-31,4.36,3.76
10-08909-57168,11.39,2022-05-12,1.53,1.14
11-08915-09448,31.87,2022-05-20,2.88,3.19
05-08919-50151,218.13,2022-07-27,24.16,43.62
27-08919-14355,10.55,2022-06-28,1.44,2.11
04-08920-73370,12.55,2022-05-31,1.66,0.00
10-08921-61801,10.63,2022-05-31,1.45,1.06
16-08923-23757,39.19,2022-07-27,4.53,0.00
5-08929-09216,13.00,2022-07-22,1.70,1.30
27-08939-43428,30.94,2022-07-22,3.64,2.26
14-08947-41309,284.49,2022-06-14,31.02,28.45
25-08943-70978,19.03,2022-06-06,2.36,1.90
16-08950-82887,19.43,2022-06-06,2.40,1.94
01-08966-96831,12.92,2022-06-28,1.70,1.29
19-08962-34297,9.62,2022-06-07,1.34,0.96
22-08968-16812,29.52,2022-02-13,3.49,2.95
14-08973-57816,30.78,2022-05-25,3.62,0.00
09-08975-61248,87.75,2022-05-30,7.41,8.78
10-08975-55519,10.36,2022-06-04,1.42,1.04
09-08976-65060,22.97,2022-07-22,2.78,2.30
22-08975-51314,14.96,2022-07-22,1.92,0.00
07-08994-32193,11.95,2022-05-01,1.59,1.20
20-08992-49217,29.37,2022-02-24,3.47,1.32
11-08996-00118,13.05,2022-06-07,1.71,0.00
16-08995-52779,20.15,2022-07-22,2.48,2.02
02-09001-43105,107.85,2022-06-06,11.95,10.79
14-09000-55740,26.62,2022-06-05,3.17,0.00
19-09006-00623,47.88,2022-06-02,5.47,4.79
22-09018-59829,141.27,2022-08-23,15.56,2.97
06-09025-10395,39.22,2022-08-22,4.54,3.92
24-09037-88445,16.00,2022-06-22,2.40,0.10
16-09026-23853,30.03,2022-08-24,3.54,1.53
22-09032-74560,12.95,2022-05-31,1.91,1.30
03-09042-22814,75.08,2022-07-22,8.41,3.83
22-09032-74560,12.95,2022-05-31,1.91,1.30
08-09040-10723,30.07,2022-08-18,3.55,1.53
18-09040-65061,93.93,2022-08-23,10.44,1.97
27-09038-68290,43.40,2022-06-16,3.82,0.00
27-09073-04054,597.75,2022-09-08,64.86,0.00
14-09100-78582,42.53,2022-09-13,4.89,1.32
14-09108-34206,32.76,2022-09-13,3.84,1.02
03-09107-33061,311.70,2022-09-08,33.96,12.78
15-09110-83367,32.58,2022-08-24,3.82,0.00
15-09124-54591,42.05,2022-07-27,4.84,2.14
15-09124-00910,103.28,2022-08-24,11.45,5.27
27-09121-76709,433.34,2022-09-08,47.10,17.77
19-09128-99691,20.58,2022-09-22,2.52,0.00
02-09136-99562,42.96,2022-09-22,4.94,0.00
07-09059-97260,39.36,2022-08-24,4.55,0.00
17-09069-27757,8.61,2022-06-06,1.23,0.00
06-09094-74253,10.62,2022-06-06,1.45,0.00
13-09094-75504,10.88,2022-06-06,1.48,0.00
16-09095-45031,16.49,2022-06-22,2.08,0.00
12-09100-77356,38.94,2022-05-25,4.51,1.21
13-09107-70209,10.69,2022-06-07,1.45,0.00
09-09115-95631,29.96,2022-07-22,3.54,0.00
16-09118-65817,10.81,2022-06-06,1.47,0.55
15-09126-05273,28.91,2022-02-16,3.42,1.19
03-09136-66573,242.55,2022-09-23,26.50,0.00
08-09137-80900,22.30,2022-09-13,3.08,0.00
21-09138-35034,33.80,2022-09-22,4.74,2.40
09-09146-72750,13.86,2022-05-31,1.80,0.00
18-09152-48031,10.71,2022-06-06,1.46,0.00
05-09160-67296,53.07,2022-09-29,6.51,0.00
06-09163-68218,53.45,2022-09-30,6.07,0.00
05-09165-86377,19.23,2021-10-25,2.32,1.92
01-09173-19360,53.86,2022-09-27,6.12,5.39
25-09167-31381,47.16,2022-06-28,5.39,4.72
26-09174-43680,944.59,2022-09-12,102.32,65.18
06-09216-16457,230.76,2022-07-27,25.22,0.00
14-09207-44552,29.21,2022-09-27,3.45,2.92
25-09200-30121,70.95,2022-08-24,7.96,7.10
18-09262-65808,54.25,2022-10-15,3.32,2.80
11-09275-49624,28.53,2022-10-25,6.81,5.43
06-09299-00786,83.74,2022-11-02,9.34,4.94
03-09307-42988,129.98,2022-11-03,14.34,13.00
26-09313-35222,280.83,2022-09-08,30.63,28.08
05-09317-32724,153.47,2022-11-03,16.87,15.50
20-09357-46060,31.96,2022-08-22,3.75,3.20
06-09353-81162,120.47,2022-11-10,13.31,0.00
04-09343-39112,35.42,2022-10-06,4.13,3.54
22-09199-27394,61.20,2022-10-06,6.91,6.12
07-09388-42119,115.40,2022-11-10,12.76,11.54
17-09371-56209,89.20,2022-09-12,9.93,6.24
15-09384-96096,369.05,2022-11-03,30.19,0.00
07-09441-97065,38.75,2022-11-28,3.44,0.00
15-09480-26299,135.80,2022-11-10,14.97,13.58
01-09467-81479,34.60,2022-09-13,4.04,0.00
01-09479-99561,12.72,2022-09-13,1.67,1.27
17-09500-25502,21.44,2022-12-13,2.19,2.14
18-09499-42474,26.70,2022-09-22,3.18,2.67
15-09497-22392,82.13,2022-09-12,9.17,8.21
27-09491-53083,21.55,2022-12-13,2.20,0.00
27-09522-36667,45.85,2022-10-13,5.25,4.59
